,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
55,Spacious Flat In Heart Of Paris In Gorgeous Marais,Entire home,149.0,Julie,3,2.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n3 Reviews']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n3 Reviews']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
56,LUXURY LOFT STUDIO IN THE HEART OF LE MARAIS 4PERS,Entire home,125.0,Diane & Déborah,200,4.6,"['4 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n1,213 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1.5 baths'"", "" '\\U000f0004\\n1"", ""213 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1.5 baths',1.0,2.0,1.5
57,Cozy Studio Notre-Dame/Saint-Germain/Saint Michel,Entire home,109.0,Sharon,15,4.87,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n15 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n15 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
58,Sublime chambre avec merveilleuse vue panoramique,Room in boutique hotel,326.0,Julia,22,4.95,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n28 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n28 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
59,Appartement 80m2souplex composé au rez-de-chaussée,Entire home,230.0,Alex,104,4.53,"['8 guests', '3 bedrooms', '3 beds', '3 baths', '\U000f0004\n245 Reviews', '\U000f0019\nVerified']","[""['8 guests'"", "" '3 bedrooms'"", "" '3 beds'"", "" '3 baths'"", "" '\\U000f0004\\n245 Reviews'"", "" '\\U000f0019\\nVerified']""]",8.0, '3 bedrooms', '3 beds', '3 baths',3.0,3.0,3.0
60,Devant la Tour Eiffel  et les commerces,Entire home,500.0,Mathilde,14,4.5,"['12 guests', '3 bedrooms', '4 beds', '1 bath', '\U000f0004\n3,217 Reviews', '\U000f0019\nVerified']","[""['12 guests'"", "" '3 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n3"", ""217 Reviews'"", "" '\\U000f0019\\nVerified']""]",12.0, '3 bedrooms', '4 beds', '1 bath',3.0,4.0,1.0
61,1Bedroom 10min from the Eiffel Tower,Entire home,190.0,Vincent,403,4.89,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n561 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n561 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
62,Amazing flat in Le Marais-Bastille,Entire home,200.0,Sci,156,4.45,"['8 guests', '4 bedrooms', '5 beds', '1 bath', '\U000f0004\n157 Reviews', '\U000f0019\nVerified']","[""['8 guests'"", "" '4 bedrooms'"", "" '5 beds'"", "" '1 bath'"", "" '\\U000f0004\\n157 Reviews'"", "" '\\U000f0019\\nVerified']""]",8.0, '4 bedrooms', '5 beds', '1 bath',4.0,5.0,1.0
63,Superbe Atelier au cœur d’Alésia ***,Entire home,89.0,Jérémy,22,4.91,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n22 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, 'Studio', '2 beds', '1 bath',0.5,2.0,1.0
64,Sweet & cosy room next to Canal Saint Martin ❤️,Room in hotel,140.0,Alexandra,825,4.68,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1,015 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n1"", ""015 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
