Spacieux et proche du centre historique !,Entire home,€130,Jonathan,,,"['6 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']"
"Voilier au vieux port ,vue tours",Entire home,€55,Naiwen,(62 reviews),4.19,"['4 guests',  '1 bedroom', '3 beds', 'Half-bath', '\U000f0004\n147 Reviews', '\U000f0019\nVerified']"
CHAMBRE PRIVÉE CHEZ L’HABITANT AVEC DOUCHE,Private room in house,€20,Jocelyne,(72 reviews),4.91,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n123 Reviews', '\U000f0019\nVerified']"
Chambre au calme L’houmeau proche mer,Private room in bed and breakfast,€22,Virginie,,,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n181 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
appart proche la Rochelle et Chatellaillon,Entire home,€60,Colette,(55 reviews),4.93,"['3 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n55 Reviews']"
CENTRE CHATELAILLON T3** AVEC COUR 100m PLAGE,Entire home,€85,Cyrielle,(60 reviews),4.78,"['8 guests', '2 bedrooms', '6 beds', '1 bath', '\U000f0004\n337 Reviews', '\U000f0019\nVerified']"
Résidence BNB Swimming Pool - Awesome view,Entire home,€110,Résidence BNB,(105 reviews),4.55,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n5,064 Reviews', '\U000f0019\nVerified']"
1 Chambre double tout confort au calme.,Private room in house,€32,Eric,(179 reviews),4.58,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n590 Reviews', '\U000f0019\nVerified']"
Location d été,Entire home,€33,Isabelle,(24 reviews),4.46,"['2 guests', '1 bedroom', '0 beds', '0 baths', '\U000f0004\n24 Reviews']"
"Appt cosy avec parking, proche plage, vieux port",Entire home,€120,Frederic,(16 reviews),4.87,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n16 Reviews', '\U000f0019\nVerified']"
L'Emilienne,Private room in bed and breakfast,€63,Katia,(54 reviews),4.8,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n98 Reviews']"
Maisonnette proche Châtelaillon/ La Rochelle,Entire home,€45,Fred,(39 reviews),4.9,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n39 Reviews', '\U000f0019\nVerified']"
studio avec terrasse,Entire home,€49,Laetitia,(347 reviews),4.25,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n666 Reviews', '\U000f0019\nVerified']"
CHARMANTE PETITE MAISON avec patio,Entire home,€75,Isabelle,(126 reviews),4.35,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n129 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Petite maison proximité centre-ville..,Private room in house,€37,Claude,(6 reviews),4.33,"['1 guest', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n6 Reviews']"
Charmant Studio à 150 m du port de Saint Martin,Entire home,€55,Lionel,(79 reviews),4.86,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n80 Reviews', '\U000f0019\nVerified']"
Chambre lumineuse chez l’habitant,Private room in bed and breakfast,€23,Jocelyne,(3 reviews),5,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n123 Reviews', '\U000f0019\nVerified']"
Chambre à 200m de la plage - Accostage Hôtel,Room in hotel,€100,Guillaume,,,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n1 Review']"
guest room in an artist's studio,Private room in bed and breakfast,€83,LiL,(202 reviews),4.9,"['2 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n202 Reviews', '\U000f0019\nVerified']"
Chambres 3 pers. La Flotte en Ré,Private room in nature lodge,€52,Frédéric,(199 reviews),4.75,"['\U000f0004', '\U000f0019']"
Bateau hyper centre la Rochelle (Bourdon),Entire home,€55,Moli,(23 reviews),4.27,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']"
Appartement HYPERCENTRE Vieux Port,Entire home,€150,Floriane,(114 reviews),4.73,"['\U000f0004', '\U000f0019']"
Maison de vacances face plan d'eau,Entire home,€65,Aline,(99 reviews),4.77,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n99 Reviews', '\U000f0019\nVerified']"
Nuit(s) à quai à bord d'une Vedette Haut Standing,Entire home,,Maxence,(43 reviews),4.62,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n44 Reviews', '\U000f0019\nVerified']"
studio indépendant au calme à deux pas de la plage,Entire home,€60,Yannick,(114 reviews),4.74,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n116 Reviews', '\U000f0019\nVerified']"
Studio tout confort indépendant.,Entire home,€55,Eric,(86 reviews),4.53,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n590 Reviews', '\U000f0019\nVerified']"
CHAMBRES A DEUX PAS DU CENTRE ET PLAGE,Private room in townhouse,€52,Cecile Et Jean,(76 reviews),4.68,"['\U000f0004', '\U000f0019']"
"Chambre d'Hôtes "" Cosy"" Le Noroît",Private room in chalet,€33,Catherine,(290 reviews),4.77,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n523 Reviews', '\U000f0019\nVerified']"
Chambre agréable au cœur d'un quartier sympa,Private room in house,€65,Christophe,(72 reviews),4.74,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n72 Reviews']"
Chambre privée proche centre ville,Private room in house,€36,Josiane Et Raymond,(88 reviews),4.65,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n166 Reviews']"
Maison et Jardin à 2 pas du Port -jusqu'à 7 pers,Entire home,€105,Stéphanie,(66 reviews),4.7,"['7 guests', '3 bedrooms', '4 beds', '3 baths', '\U000f0004\n66 Reviews', '\U000f0019\nVerified']"
20m Plage - Maison neuve - Wifi,Entire home,€78,Manon,,,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']"
Chambre chez l'habitant de 11 m² au calme,Private room in house,€25,Severine,(23 reviews),4.83,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']"
ABRI COTIER DE CHARME ENTRE MER ET FORET,Entire home,€250,Christophe,(7 reviews),5,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n51 Reviews', '\U000f0019\nVerified']"
